year,artist,song,position,category
1951,Nilla Pizzi,Grazie dei fiori,1,Unica
1951,Nilla Pizzi & Achille Togliani,La luna si veste d'argento,2,Unica
1951,Achille Togliani,Serenata a nessuno,3,Unica
1951,Achille Togliani,Al mercato di Pizzighettone,F,Unica
1951,Nilla Pizzi & Achille Togliani,Eco fra gli abeti,F,Unica
1951,Achille Togliani,Famme durmì,F,Unica
1951,Duo Fasano,La cicogna distratta,F,Unica
1951,Nilla Pizzi,La margherita,F,Unica
1951,Achille Togliani,Sedici anni,F,Unica
1951,Duo Fasano,Sotto il mandorlo,F,Unica
1951,Nilla Pizzi,È l'alba,NF,Unica
1951,Nilla Pizzi,Ho pianto una volta sola,NF,Unica
1951,Achille Togliani,Lasciami,NF,Unica
1951,Achille Togliani,Mai più,NF,Unica
1951,Achille Togliani,Mani che si cercano,NF,Unica
1951,Nilla Pizzi,Mia cara Napoli,NF,Unica
1951,Nilla Pizzi,Notte di Sanremo,NF,Unica
1951,Nilla Pizzi,Oro di Napoli,NF,Unica
1951,Duo Fasano,Sorrentinella,NF,Unica
1951,Nilla Pizzi,Tutto è finito,NF,Unica
1952,Nilla Pizzi,Vola colomba,1,Unica
1952,Nilla Pizzi,Papaveri e papere,2,Unica
1952,Nilla Pizzi,Una donna prega,3,Unica
1952,Nilla Pizzi,I due ottanelli,F,Unica
1952,Gino Latilla,Il valzer di Nonna Speranza,F,Unica
1952,Oscar Carboni,L'attesa,F,Unica
1952,Achille Togliani,La collanina,F,Unica
1952,Gino Latilla,Malinconica tarantella,F,Unica
1952,Nilla Pizzi,Nel regno dei sogni,F,Unica
1952,Oscar Carboni,Perché le donne belle,F,Unica
1952,Gino Latilla,Un disco dall'Italia,F,Unica
1952,Duo Fasano,Al ritmo della carrozzella,NF,Unica
1952,Duo Fasano,Buonanotte ai bimbi del mondo,NF,Unica
1952,Oscar Carboni,Cantate e sorridete,NF,Unica
1952,Duo Fasano,Due gattini,NF,Unica
1952,Nilla Pizzi,Il valzer di Nonna Speranza,NF,Unica
1952,Achille Togliani,Libro di lettura,NF,Unica
1952,Gino Latilla,Pura fantasia,NF,Unica
